 summons, call	citatio
control oneself	tempero
controversy	contentio
convene	congrego
convene	convoco
convenience	commodum
convenience	oportunitas
convenience	opportunitas
convenience, advantage, opportunity, comfort	commodum
convenience, fitness, advantage, opportunity	oportunitas
convenient	opportunus
conveniently	opportune
convent	monasterium
conversation	sermo
convert	converto
convey	do
convey	transfero
convey	translatum
convey	transtuli
convey	transveho
convey	vectum
convey	veho
convey	vexi
convey across	transmitto
convey across	transporto
conveyance	vehiculum
conveyance, vehicle	vehiculum
convict	arguo
convict	confuto
convict	redarguo
cookie	crustulum
cookies	crustuli
cooking spit	cuspis
cool	tepesco
coolly	lente
coolness	frigus
cooperation	consensio
copious	fusus
copiously	affluenter
copiously	copiose
copiously-flowing	multifluus
copper kettle	lebes
copper kettle, basin, cauldron	lebes
copper ore	orichalcum
copper ore / brass	orichalcum
copulation	concubitus
copy	effingo
Corbie	Corbeiam
cord	funiculus
cord	funis
corner	angulus
corner, niche	angulus
corpse	cadaver
corpse	corporis
corpse	corpus
corpse	somes
correct	corrigo
correct	emendo
correct	rectus
correct	tersus
corrector	emendator
corrects	castigator
correspond to	cohaereo
corridor	andron
corridor, aisle	andron
corrupt	constupro
corrupt	infeci
corrupt	infectum
corrupt	inficio
corrupt	perversa
corrupt	vitiosus
corrupted	infectus
corruption	caries
corruption	venaliter
corselet	thorax
cost	sumptus
cost of living	annona
costly	carus
cot	lectulus
cottage	casa
cottage	tabernus
cotton cloths	byssus
couch	lectus
cough	tussio
council	concilium
council	consilium
counsellors	consiliarii
counselor	consuasor
count	comes
count	comitis
count	deputo
count	duco
count	enumero
count up	enumero
countenance	aspectus
countenance	facies
countenance	oris
countenance	os
countenance	vultus
counterfeit	simulatus
countess	cometissa
countess	cometissa comitissa
countess	comitissa
countless	innumerus
country	humus
country	ora
country	ruris
country	rus
country	solum
country	tellus
country	terra
country estate	villa
country house	villa
country house, country estate /(med.) manor	villa
country-folk	pagenses
countryman	paganus
countryman, peasant, pagan	paganus
countryside	ager
countryside	pagus
countryside	ruris
countryside	rus
couple	copulo
couple	copulor
couple	iugo
courage	animus
courage	audentia
courage	ferocia
courage	ferocitas
courage	fortitudo
courage	virtus
courage, untamed spirit /arogance	ferocitas
courage, vivacity, bravery, will, spirit, soul	animus
courageous	animosus
courageous	bellator
courageous	ferox
courageous	fidens
courageous	fortis
courageous, ardent, passionate, furious	animosus
courageously	ferociter
course	curriculum
course	cursus
course	tractus
course, progress, movement /space, time	tractus
courses of a meal	epulae
court	aula
court	curia
court	patulum
court	villa
courteous	affabilis
courteous	comis
courteous	liberalis
courteous, generous, gentlemanly	liberalis
courteous, kind, friendly	comis
courteously	comiter
courteously	dignanater
courteously	liberaliter
courteously	officiose
courteously, generously, honorably	liberaliter
courteously, in a kindly, friendly manner	comiter
Courtrai	Corturiacum
Courtrai	Courtacum
Courtrai	Curtracus
courtyard	platea
covenant	conventio
covenant	foederis
covenant	foedus
covenant	legis
covenant	lex
covenant	paciscor
covenant	pactum
covenanted	compacta
cover	aspergo
cover	contego
cover	induco
cover	obduco
cover	obvolvo
cover	occulto
cover	tectum
cover	tego
cover	texi
cover with earth	humo
cover with earth, bury	humo
cover, put on clothing, erase writing, revoke	induco
covered gallery	crypta
covered passage	ianus
covered wholly	cooperio
covered with hair	pilosus
covered with trees	nemorosus
covering	obductio
covering	pallium
covering	tegmen
covering	theca
covering	velamen
covering	velum
covering	vestis
covering, garment	velamen
coverlet	pallium
coverlet, mantle, cloak	pallium
covert	latebra
covet	concupisco
covet	inhio
covetousness	concupiscentia
cow	bos
cow	carnero
cow, ox. bull	bos (bovis )
cowl	cuculla
crab	cancer
crack	fragor
cracks	confraga
cradle	cunabula
craft	ars
craft	fabrica
craft	professio
craftsman	faber
craftsman, artisan	faber
crafty	dolosus
crafty	vafra
crafty, cunning, sly, deceitful	dolosus
cram	effercio
cram	refercio
crammed	differtus
crammed	effertus
crammed	refertus
crash	fragor
crashing	fragor
crashing	fragosus
crawl	repere
crawl	repo
crawl	repsi
crawl	reptum
crawl up from below	subrepo
crawl up from below	surrepo
crazy	rabidus
creak	crepito
create	creare
create	creo
create	genero
create	pario
created	creatus
creating	creans
creator	conditor
creator	creator
creator	sator
creator, founder	creator
creators	creatores
creature	creatura
creature, servant	creatura
credible	credebilis
credible	probabilis
credibly	credebiliter
credit	promeritum
creditor	creditor
creditors	creditores
credulity	credulitas
credulous	credulus
credulously	credule
creep	repo
creep	repsi
creep	reptum
creep out	erepo
creep over	erepo
creep up	erepo
creep up from below	subrepo
creep up from below	surrepo
crescent-shaped	lunatus
crest	crista
crest	iugum
crest, plume / rooster's comb	crista
crested	cristatus
crested, plumed	cristatus
crime	crimen
crime	dedecus
crime	facina
crime	malum
crime	noxa
crime	piaculum
crime	scelus
crime	vitium
crime, sin, evil deed, wickedness	scelus sceleris
criminal	scelestus
crisis	articulus
criticize	velico
crocodile	crocodilus
crocus	crocus
crocus, saffron / yellow, saffron-colored	crocus
crooked	anfractus
crooked	curvus
crooked	pandus
crookedness	pravitas
crookedness, depravity, deformity, perversity	pravitas
crop	ingluvies
crop	messis
crop	proventus
crop, maw	ingluvies
cross	crucis
cross	crux
cross	crux  crucis
cross a strait	transfreto
cross over	transeo
cross-road	compitum
crossbar	iugum
crossbar, beam of scales /crest, ridge	iugum
crossing	transitus
crossing, passing over, transit /changing	transitus
crossroads	quadrivium
crossroads, place where four roads meet	quadrivium
crouch down	subsido
crowd	caterva
crowd	celebritas
crowd	frequentia
crowd	frequento
crowd	grex
crowd	populus
crowd	turba
crowd in	inculco
crowd, multitude /celebration /fame, renown	celebritas
crowd, troop, flock	caterva
crowding	frequentatio
crowds	gregatim
crown	corona
crown	flos
crown	redimio
crown of laurel	laureola
crown, diadem	corona
crowned with an episcopal mitre	infulatus
crowned with laurel	laureatus
crowned with laurel	laurifer
crowned with laurel, laureate	laureatus
cruel	atrox
cruel	crudelis
cruel	ferreus
cruel	inhumanus
cruel, savage, barbarous, inhuman, uncivil	inhumanus
cruelly	atrociter
cruelly	crudeliter
cruelly	misericorditer
cruelly	truculenter
cruelty	atrocitas
cruelty	crudelitas
cruelty	inhumanitas
cruelty, inhumanity	crudelitas
cruely	crudeliter
crumb	mica
crumb, morsel, grain /small loaf	mica
crumbling	puter
crusader	peregrinus
crush	contero
crush	frendo
crushing	contricio
crust	crusta
cry	clamor
cry	fleo
cry	flere
cry	quiritatio
cry	vox
cry aloud	clamo
cry aloud	exclamo
cry aloud	vociferor
cry out	boare
cry out	boo
cry out	quirito
cry out	sono
crystal	crystallus
crystal	crystalus
crystal drinking cup	crystallus
crystal drinking cup	crystalus
cubit long	cubitalis
cudgel soundly	diverbero
cuirassiers	ferrati
cull	runco
culpable	nocens
culprit	reus
cultivate	cavo
cultivate	colo
cultivate	colui
cultivate	cultum
cultivate	excolo
cultivate	exerceo
cultivate	incolo
cultivate	recolo
cultivate, cherish	colo colui cultum
cultivation	cultura
cultivator	agricola
cultivator	arator
cultivator	cultor
culture	humanitas
cultured	humanus
cunning	astus
cunning	calliditas
cunning	callidus
cunning	dolosus
cunning	versutiae
cunningly	callide
cunningly	versute
cup	vas
cupboard	armarium
cupboard, chest, safe (for food, clothing	armarium
cupidity	cupiditas
curb	compescor
curb	freno
curb, restrain, hold back, restrain	freno
cure	curo
cure	medicor
cure	rememdium
cure, remedy, nostrum, medicine	rememdium
curelty, inhumanity/ incivility	inhumanitas
curing	curatio
curiosity	curiositas
curiosity, inquisitiveness, nosiness	curiositas
curious	curiosus
curl	crispo
curl	torqueo
curly	crispans
curly	crispus
curly-haired	crispus
curly-haired, curly / trembling, quivering	crispus
curse	consecro
curse	deprecor
curse	devoveo
curse	exsecror
curse	imprecor
curse	maledictio
curse	pestis
curse	vomica
curtain	velum
curve	curvo
curve	incurvo
curve	inflecto
curve	inflectum
curve	inflexi
curve	sinus
curve, fold, bend /pocket, lap /bay	sinus
curved	camur
curved	curvus
curved	pandus
curved, bent, hooked	camur
curved, crooked, arched, bowed	pandus
curving	inflexus
custody	custodia
custom	adsuetudo
custom	consuetudo
custom	institutio
custom	mos
custom, habit	adsuetudo
custom, usage, habit /intimacy	consuetudo
customary	consueta
customary	solitus
customary	usitas
customary tenant	villanus
customary, usual	consueta
customary, usual	usitas
customs	mos
cut	scindo
cut	seco
cut	sectum
cut	secui
cut away	perseco
cut away	subseco
cut back	reseco
cut down	concido
cut down	decido
cut hair	spargo
cut into	infidi
cut into	infindo
cut into	infissum
cut into pieces	conseco
cut loose	reseco
cut off	abscido
cut off	decido
cut off	deputo
cut short	praecido
cut short	reseco
cut the hair	pilo
cut the throat	iuguolo
cut through	perseco
cut through	seco
cut to pieces	lacer
cut up	concido
cut up	concisus
cut up, broken, brief, concise	concisus
cutting	talea
cypress	cupressus
cypress wood	cupressus
cypress, cyrpess wood, a cypress-wood casket	cupressus
Dacian-born	dacigena
Dacians	Daci
dagger point	mucro
daily	cotidie
daily allowance of pay	diaria
daily, every day	cotidie
dainty	fastidiosus
dam	crepido
damage	adflicto
damage	affligo
damage	comminuo
damage	contristo
damage	damnum
damage	detrimentum
damage	iniuria
damage	laedo
damage	ledo
damage	malum
damage	mulco
damage	praejudicium
damage, loss, detriment	detrimentum
damaged	miniatus
damaged, diminished, lessened, decreased	miniatus
damaging	pestifer
damn	damno
dance	tripudio
dancer	praesul
dancer	presul
dancer /presider, protector, director	praesul presul
danger	periculum
danger, risk	periculum
dangerous	infensus
dangerous	infestus
dangerous	periculosus
dangers	quorum
dare	audeo
dare	ausus
dare	praesumo
dark	acerbus
dark	atra
dark	atrer
dark	atrum
dark colored	aquilus
dark colored, swarthy	aquilus
dark, gloomy	ater atra atrum
dark-clorored, blackish /sad	pullus
dark-colored	pullus
dark-complexioned	coloratus
darken	caligo
darkened	infectus
darkness	caliga
darkness	creperum
darkness	obscurum
dart	iaculum
dart	jaculum
dart	runa
dart	spiculum
dart	telum
dart, javelin	jaculum
dart, javelin, short spear	iaculum
dash to pieces	elido
data	indicium
data	notitia
data, information, evidence	indicium
date	balanus
daughter	filia
dawn	diluculo
dawn, daybreak	diluculo
day	diei
day	dies
day	dies diei
day	putesco
day of payment	pensio
day-dream	somnium
daybreak	diluculo
dead	mortuus
dead of night	intemptesta nox
dead, deceased, passed away, gone West, departed	mortuus
deadly	fatalis
deadly	funestus
deadly	letalis
deadly	letifer
deadly	mactabilis
deadly	mortifer
deadly things	mortifera
deadly, lethal	mactabilis
deadly, mortal	letifer
deal	paciscor
deal blows	ferito
deal with	tracto
dear	carus
dear, beloved /costly, high-priced, expensive	carus
dearness	caritas
dearness, affection / charity	caritas
death	decessus
death	excessum
death	letum
death	mors
death	mors mortis
death	mortalitas
death	mortis
death	nex
death	plecto aliquem capite
death rattle	singultus
death, ruin, annihilation	letum
death-bringing	mortifer
death-dealing	letifer
debate	confero
debate	disputatio
debate, dispute, discussion	disputatio
debaucher	constupator
debauchery	luxus
debauchery	stuprum
debris	strages
debt	debitum
decapitation	capulatio
decay	caries
decay	intereo
decay	morior
decay	senium
decayed	cariosus
decayed	puter
deceased	defuncta
deceased	mortuus
deceased	quondam
deceit	dolositas
deceit	dolus
deceit	fraudatio
deceit	furta
deceitful	dolosa
deceitful	dolosus
deceitful	fraudulentus
deceitfully	dolose
deceive	decipio
deceive	fallo
deceive	frustro
deceive	frustror
deceive	impono
deceive	ludo
deceive	lusi
deceive	lusum
decency of behavior	decentia
deception	deceptio
deception	error
deceptive	falsus
decide	cerno
decide	constituo
decide	decerno
decide	exigo
decide	induco
decide	reor
decide	statuo
decide beforehand	praejudico
decided	certus
deciding by lot	sortitus
decision	iudicium
decision	judicium
decision	sententia
decked out	indutus
declaim	declamo
declaim	pronuntio
declaration	professio
declaration	propositum
declaration, profession/ trade, art, craft	professio
declare	arguo
declare	clamo
declare	denuncio
declare	denuntio
declare	dissero
declare	edico
declare	effor
declare	eloquor
declare	locutus
declare	loquor
declare	ostendo
declare	renuntio
declare in public	protesto
declare in public	protestor
declare openly	proloquor
declare publicly	profiteor
declare, give notice, announce	denuncio
declension	declinatio
decline	declive
decline	recuso
decline	respiro
decline	senium
decline in health	contabesco
declining	declinatio
decorate	distinguo
decorate	extollo
decorate	orno
decorate	pingo
decorated	decorus
decorations	ornamentum
decrease	decessio
decrease	decresco
decrease	minui
decrease	minuo
decrease	minutum
decrease	tepesco
decreased	miniatus
decree	consultum
decree	decretum
decree	mandatum
decree, judgment, edict, order	decretum
decrepit	decrepitus
dedicate	consecro
dedicate	dedico
deduce	repeto
deed	facina
deed	factum
deed	opus
deed	res
deed, accomplishment, work, act, achievement	factum
deep	altus
deep	internus
deep	profundus
deep sleep	sopor
deep, profound, high, thick, dense, boundless	profundus
deeply	penetranter
deeply, penetratingly, searchingly	penetranter
deer	cervus
defeat	detrimentum
defeat	evinco
