a body	en kropp
easily	med lätthet
East	öster
East	östra
East Indies - the	Ostindien
eastbound	som går åt öster
Easter	påsk
easterly, eastern	östlig
eastward	mot öster
eastward	åt öster
easy	mak
easy chair, armchair, armcheer	fåtölj
easy to survey, lucid, perspicuous	överskådlig
easy, untroubled	obesvärad
easy-going, carefree	sorglös
easy-going, leisurely	maklig
easy-to-use	lättanvänt
eaten	ätit
eating	ätande
eats	äter
eaves	takfot
eaves	takskägg
eavesdropper	tjuvlyssnare
ebb, ebb	ebb
ebb, wane	avta
ebonite, vulcanite	ebonit
ebony	ebenholts
ec-harmonization	eg-anpassning
ec-labelling	eg-märkning
ec-regulation	eg-förordning
ecclesiastcal	kyrklig
ecclesiastes	salomos predikare
ecclesiastical, clergymen	kyrkliga
echo	genljud
echoes	ekar
eclectic	eklektisk
eclipse	månförmörkelse
eco-audit	miljörevision
eco-labelling	miljömärkning
ecological	ekologiska
ecologist	miljöforskare
ecology	miljöforskning
economical, economical, economic	ekonomisk
economical, frugal, economical	sparsam
economics	nationalekonomi
economies	ekonomier
economist	nationalekonom
economize, keep house	hushålla
economy	ekonomi
economy, housekeeping, economize	hushållning
economy, thrift, economy	sparsamhet
ecosystem	ekosystem
eczema	eksem
edge	egg
edge, brim	brädd
edges	kanterna
edible	ätlig
edict	förordning
edict, decree	påbud
edification	uppbyggelse
edifice, building	byggnad
edify	uppbygga
edit	redigera
edited	redigerad
editing	redigering
edition	utgåva
editor	redaktör
editor-in-chief, copy-taster	redaktionschef
editorial	ledande artikel
editorial, head, conductor, core, manager, leader	ledare
editors, editor	redigerare
editor`s, editorial staff, editorship	redaktion
edits	redigerar
edomites	edomiterna
edp	elektronisk databehandling
education, upbringing	uppfostran
educational	undervisande
educators	utbildare
eel	ål
eel hatch	ålkista
eery, gaunt, ghostlike, lurid, ghostly, ghastly	spöklik
efface, delete, obliterate	utplåna
effect	effekt
effect, efficacy	verkan
effected, affected	påverkad
effective	effektiv
effectively, efficient, forcible, efficiently	effektivt
effects	effekter
effeminate	feminiserad
effeminate	förverkligad
effeminated	förvekligad
effete	uttjänt
efficiency	effektivitet
effluent	spillvatten
effluent, outflow, emanation	utflöde
effort	ansträngning
efforts	ansträngningar
effusion, extravasation	utgjutning
effusion, fervour	innerlighet
egg	ägg
eggon	driva på
eggplant	äggplanta
eggs	äggen
egoism	egoism
egoism	själviskhet
egotistical, egoistical, egotistic	egoistisk
egotistically	egoistiskt
egregious, unheard of, prodigious	oerhörd
egress	utgående
Egypt	Egypten
Egyptian	egyptisk
Egyptians	egyptierna
egyptologist	egyptolog
egyptology	egyptologiska
eider	ejder
eiderdown	eiderdun
eighieth	åttionde
eight	åtta
eight-hour day	åttatimmarsdag
eighteen	aderton
eighteen	arton
eighth	åttonde
eighties	åttitalet
eighty	åttio
Eire	Irländska republiken
either	endera
either	heller
either...or	antingen... eller
eject	tar ut
elaborate	genomarbeta
elaborates	genomarbetar
elaborates	utvecklar
elapse	förflyta
elastic spring	resårband
elastic, resilient	elastisk
elastic, vigorous	spänslig
elated	upprymd
elation	upprymdhet
elbow	armbåge
elbows	armbågar
elder	fläder
elderly, old, hoary	gammal
eldery, senior, elderly, elder	äldre
elected, chosen, selected	vald
election office	valbyrå
election promises	valfläsk
election, choice, whale, selection	val
electioneer	valarbetare
elector, selector, voter, constituent	väljare
electorate	valmanskår
electric bell	ringledning
electric, electic	elektriska
electrical	elektrisk
electrician	elektriker
electricity	elektricitet
electro-plate	nysilver
electrocute	avrätta i elektriska stolen
electronic	elektronisk
electronically	elektroniskt
elegance	elegans
elegant	stilfull
elegant, graceful	sirlig
element	grunddrag
element	grundämne
elementary	elementär
elementary school	grundskola
elephant	elefant
elevate, heave, lift, raise	lyfta
elevating, uplifting	upplyftande
elevation	upphöjelse
elevator, lift	hiss
eleven	elva
elevenses	förmiddagskaffe
elf	byting
elf, fairy	älva
elicit	framlocka
eligible	valbar
eligible, desirable	önskvärd
eligible, entitled	berättigad
elitism	elittänkande
elixir	elixir
elk, moose	älg
ell	aln
ellipse	ellips
elliptical	elliptisk
elm	alm
elocution	välläsning
elongate, prolong, lengthen, protract	förlänga
eloquence	vältalighet
else's	annans
elsewhere	annanstans
elsewhere	annorstädes
elsewhere	någon annanstans
elude, frustrate, discomfit	gäcka
elusive	gäckande
emaciate	utmärgla
emacs-like	emacsliknande
email	e-post
emailing	sända med e-post
emanate	emanera
emanate	utgå
emancipate	emanicipera
emancipate	frigöra
emancipation	frigörelse
emasculate	förvekliga
emasculate, geld	kastrera
embalm	balsamera
embankment	bank (av jord)
embankment	vall
embankment	vägbank
embark	gå ombord
embark, ship	inskeppa
embarrassed, abashed	generad
embarrassing	genant
embarrassment	förlägenhet
embassies	ambassader
embassy	ambassad
embassy	beskickning
embed	inbädda
embedded	inbäddat
embellish	försköna
embellishment	förskönande
ember	glödkol
embers, glow	glöd
embezzle	förskingra
embezzle	försnilla
embezzlement	förskingring
embitter, exacerbate	förbittra
emblem, symbol	symbol
embolden	inge mod
emboss	kisellera
embrace	famna
embrace	omfamna
embrace	omfamning
embrace, include, span	omfatta
embracing, scope	omfattning
embroider	brodera
embroideries	broderier
embroidery, fancy-work	broderi
embroil	inveckla i strid
embroil, tangle	trassla till
emend, correct, rectify	rätta
emend, improve, enhance, ameliorate, meliorate	förbättra
emendation	textförbättring
emerald	smaragd
emerge	dyka upp
emerge	framkomma
emerged	uppstigen
emergencies	nödlägen
emergency	nödfall
emergency, emergency treatment	akutsjukvård
emergency, exigency	nödläge
emigrant	emigrant
emigrate	emigrera
emigrate, migrate	utvandra
eminence	hög ställning
emissary, agent	agent
emissary, envoy	sändebud
emit	avge
emit	ge ifrån sig
emit	utsända
emotion	gripenhet
emotion	sinnerörelse
emotional, emotive	känslobetonad
emotions	känslor
emperious, imperious	befallande
emperor's	kejserliga
emphasis	eftertryck
emphasised	poängteras
emphasizing	poängterande
emphatic	eftertrycklig
emphatic	starkt betonad
empire	imperium
empire	kejsardöme
empire, realm, kingdom	rike
empirical	empirisk
employ, bring about	anställa
employ, make use of, use, use for	använda
employee	anställd
employees	anställda
employer	arbetsgivare
employers` association	arbetsgivarförening
employess, personnel, staff	personal
employment, engagement	anställning
employment, work	syssla
employments, labourers	arbeten
emporium	handelscentrum
empress	kejsarinna
emptied	tömt
empties	tömmer
emulate	emulera
emulation, imitative	efterliknande
emulator, converter	omvandlare
enable	möjliggöra
enabling	möjliggörande
enact, build, perform	uppföra
enamel, enemal	emalj
encampment	lägerplats
encampment, camp, camps, jamboree	läger
encase	inlägga
encase	inpacka
encasement, casing, case	fodral
enchant, charm, captivate	tjusa
enchantment, glamour	förtrollning
enclose, attach, add, adjoin	bifoga
enclose, envelop	innesluta
enclosure	inhängd
encode	koda
encode, encipher	chiffrera
encoding	avkodande
encore	da capo
encounter	möter
encounter	träffa på
encountered	mött
encourage, exhilarate	uppmuntra
encouragement	uppmuntran
encrypt	avkryptera
encryption	kryptering
encrypts	avkrypterar
encumber	belamra
encumber, importune, pester, bother	besvära
end, conclusion, close	slut
end, egress, issue, exit	utgång
end-user	slut-användare
endanger	sätta i fara
endcover	ändskydd
endear	göra kär
endeavors	strävanden
endeavour	bemöda sig
endeavour, striving, endeavor	strävan
endeavour, toil, strive	sträva
ending	slutande
endive	endivesallad
endorse	endossera
endorsement	endossement
endow	förläna
endowed	donerande
endowment	gåvofond
endpoint	slutpunkt
endpoints	slutpunkter
enema	lavemang
enemies	fiender
enemy	ovän
enemy of	fiende till
energetic	energisk
enervated, powerless, impotent	kraftlös
enfold, infold	omsluta
enforce, maintain	upprätthålla
enforces	upprätthåller
enfranchise	ge rösträtt
engage	koppla in
engaged	engagerad
engagement	förlovning
engaging, pretty	näpen
engine, locomotive	lokomotiv
engine, machine	maskin
enginedriver	lokomotivförare
engineer	ingenjör
engineer	konstruktör
engineering, technique, technics	teknik
engineers	konstruktörer
engines	motorer
England	England
English (to speak), english-woman	engelska
English, Anglo	engelsk
English-language	engelskspråkig
English-speaking	engelsk-talande
Englishman	engelsman
engorge, engulf, devour	uppsluka
engrave	gravera
engraver	gravör
engravings	gravyrer
engross	massuppköp
engross, write in texthand	texta
engrossing, engross	textning
enhance, increase	stegra
enhanced	avancerat
enhancements	förbättringar
enhances	förbättrar
enigma, riddle	gåta
enigmatic, mysterious, puzzling	gåtfull
enjoement	åtnjutande
enjoin, impose, command	ålägga
enjoy	avnjuta
enjoy	åtnjuta
enjoyable	njutbara
enjoyed	uppskattade
enjoyment	förnöjelse
enjoys, appreciates	uppskattar
enlarge, aggrandize, magnify, augmented	förstora
enlighten, illuminate, lighten, brighten	upplysa
enlist	ta värvning
enlist	värva
enliven	liva upp
enmity	fiendskap
ennoble	förädla
enormous	enorm
enormous, giant, titanic, gigantic	jättelik
enquire	förfråga sig
enrich	berika
enrich	göra fruktbar
enroll	enrollera
enrolment	inskrivning
ensemble	ensemble
ensign second liutenant	fänrik
ensign, standard-bearer	fanbärare
enslave	förslava
ensue	bli följden
ensure	säkerställa
ensures	säkerställer
entail	arvsföljd
entangle	trassla in
entangled	intrasslad
entangled	trasslig
enter	inträda
enter into	ingå
enter into	inlåta sig på
entered	inknappade
entering	börjar
enterprise	företagsamhet
enterprising	företagsam
entertain	traktera
entertain, maintain, maintenance	underhålla
entertaining	underhållande
entertainment	tillställning
entertainment	underhållning
entertains	hyser
enthrall, enchant, bewitch	förtrolla
enthrone	upphöja på tronen
enthroned	installerad
enthusiasm	entusiasm
enthusiasm, jubilance	jubel
enthusiast, zealot	svärmare
enthusiastic	entusiastisk
enticement, blandishment, allurement, lure	lockelse
entices	lockar
entire, full, universal	hel
entire, whole	hela
entirety, entity, completeness	helhet
entitle	berättiga
entitled to vote	valberättigad
entitles	berättigar
entrance	ingång
entrance fee	inträdesavgift
entrance, admittance, entry	inträde
entreat	besvärja
entrench	förskansa
entrenchment	förskansning
entwine	fläta ihop
enumerate	räkna upp
enure, inure, accustom, familiarize with	vänja
envelop	inlinda
envelope	kuvert
envious, jealous	avundsjuk
environment	omgivning
environment, milieu, surroundings	miljö
environmental	miljö-
environments	miljöer
envisage, meet	möta
envy	avund
envy	avundas
ephesians	efesierna
epic	episk
epic	epos
epidemic, epidemic	epidemi
epidemics	farsoter
epidermis	överhud
epigraphy	epigrafik
epihtet	epitet
epihtet, attributes, attribute	attribut
episcopal	episkopal
episcopalian	medlem av episkopalkyrkan
episode	episod
epitaph	epitaf
epitaph	gravskrift
epitome, digest, abstract, abridgement, summary	sammandrag
epoch	epok
equal	like
equal, compeer	jämlike
equalising	utjämning
equality	jämlikhet
equalize	utjämna
equals	motsvarar
equanimity	jämnmod
equation	ekvation
equations	ekvationer
equator	ekvator
equestrian	ryttartävling
equilibrium	jämviktsläge
equinox	dagjämning
equip, fit out	ekipera
equipment	apparatur
equipment, accoutrement, outfit, kit	utrustning
equipped	utrustad
equivalents	motsvarigheter
era	era
era	tidevarv
erase, rub out	radera
erect	eregerade
erect, upright	rakryggad
erect, upright	upprätt
erection	erektion
erection, rebellion, raising, revolt, stature	resning
ermine, stoat	hermelin
erode	erodera
erode	nöta bort
erosion	erodering
erotic, amatory	erotisk
erotica	erotik
err, be mistaken, make a mistake	missta sig
errand, matter	ärende
errands	ärenden
errant	kringvandrande
erratic	kringirrande
erroneous, inaccurate, incorrect	oriktig
erroneous, incorrect, faulty, wrong, defective	felaktig
errors, defect, blemish, error, wrong, failure	fel
errors, mistake, error, mistake, blunder	misstag
erudition, scholarship, learning	lärdom
erupt	få ett utbrott
escalade	storma med stormstegar
escalate	trappa upp
escalate	öka stegvis
escalation	upptrappning
escalator	rulltrappa
escape	undkomma
escape, get rid of	slippa
escaped	rymde
eschew, avoid, escape	undfly
escort	eskort
escort	eskortera
escort, accompany	ledsaga
escort, retinue	följe
especially	enkom
especially	särdeles
especially, particularly, expressly	särskilt
espionage	spionage
espionage	spioneri
esplanade, parade	promenadplats
espouse, wed, marry	gifta sig med
esquire, Mr.(mister), sahib, esq, baboo	herr
essay, attempt, effort, attempts	försök
essay, composition	uppsats
essence	essens
essence	huvudinnehållet
essential, bumptious, important, grave	viktig
essentially, mainly, principal, chiefly	huvudsakligen
establish	grun
establish	konststatera
establish one`s identity	legitimera sig
establish, etablish	etablera
establish, fix	fastställa
establish, found	inrätta
establishment	institution
establishment	upprättande
establishment, institution	inrättning
estate	lantegendom
estate	stärbhus
estate, property	egendom
esteem	högaktning
esteem, appreciate, enjoy, estimate, appreciate	uppskatta
esther	ester
Esthonia	Estland
estimate, judge	bedöma
estimation, valuation, appraisal	värdering
estrange	stöta bort
estuary	flodmynning
etc, and so on	och så vidare
etch	etsa
etching	etsning
eternal	evinnerlig
eternity	evighet
ether	eter
ethical	moraliska
ethical, moral	etisk
ethical, moral	sedlig
ethics	etik
ethiopian	etiopisk
etiquette, propriety	konvenans
eulogy	lovtal
euphony	välljud
euphoris, well-being, comfort	välbefinnande
euphrate	eufrat
euro-company	europabolag
euro-currency	europavaluta
euro-norms	europanormer
euro-standardization	europastandardisering
eurocheque	eurocheck
European	europeisk
European	europé
europeans	europeer
europeer	europeiska
evacuate	evakuera
evacuation	utrymning
evacuation	uttömning
evade	undgå
evade, shirk	undanbe sig
evaluate	utvärdera
evaluating	utvärderande
evaluation	utprovning
evaluator	utvärderare
evangelical	evangeliska
evangelization	evangelisation
evaporate, mosey	dunsta
evasion	undflykt
evation	undanflykter
evation, avoiding	undvikande
eve	dag före helg
evel, wicked, wroth, bad	ond
even, than, still, yet	än
evening	kväll
evening dress, dress-coat, tail-coat	frack
evening, eve	afton
evenings	kvällarna
evenly	jämnt
evensong	aftonsång
event, celebrations	evenemang
event, occurrence	tilldragelse
event-related	händelserelaterad
events, actions	händelser
eventually	eventuellt
ever	någonsin
everlasting, for ever, never-ceasing, eternal	evig
everlasting, permanent, perpetual	ständig
evermore	för evigt
every	varenda
every second, every other	varannan
everybody	envar
everybody, each	var och en
everyday	vardags
everyday commodities	dagligvaror
everyone's, everybody's	allas
everyone, everybody, all	alla
